
[Name]
symmetry 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
4.58886147e-01, 4.49337393e-01, 4.99999989e-03, -2.39158310e-02, -1.96626753e-01, 7.10633546e-02
4.68692720e-01, 4.49576616e-01, 4.99999989e-03, -2.41155736e-02, -2.00521514e-01, 6.40094206e-02
4.49879766e-01, 4.88370717e-01, 4.99999989e-03, -3.16033885e-02, -1.89961985e-01, 9.40270275e-02
4.49986905e-01, 4.98360723e-01, 4.99999989e-03, -3.37581560e-02, -1.88094795e-01, 9.82419252e-02
4.50106233e-01, 5.08315146e-01, 4.99999989e-03, -3.59537415e-02, -1.85718775e-01, 1.02467708e-01
4.50283140e-01, 5.18352151e-01, 4.99999989e-03, -3.82064506e-02, -1.82828799e-01, 1.06663868e-01
4.50702757e-01, 5.38612247e-01, 4.99999989e-03, -4.28342745e-02, -1.75438285e-01, 1.14910699e-01
4.50523525e-01, 5.28526485e-01, 4.99999989e-03, -4.05145139e-02, -1.79403871e-01, 1.10823579e-01
4.51112330e-01, 5.48895836e-01, 4.99999989e-03, -4.52051423e-02, -1.70907885e-01, 1.18914120e-01
5.48854649e-01, 4.51109231e-01, 4.99999989e-03, -2.39350703e-02, -2.25956097e-01, -4.70773969e-03
5.50933480e-01, 5.50851583e-01, 4.99999989e-03, -5.01043983e-02, -2.08574176e-01, 2.33542062e-02
4.49066490e-01, 4.49148446e-01, 4.99999989e-03, -2.36738343e-02, -1.92618936e-01, 7.77724907e-02
4.40334409e-01, 5.28319478e-01, 4.99999989e-03, -3.98269147e-02, -1.75138623e-01, 1.18191600e-01
4.40460861e-01, 5.38395941e-01, 4.99999989e-03, -4.20773551e-02, -1.71259478e-01, 1.22348040e-01
4.40728635e-01, 5.48602939e-01, 4.99999989e-03, -4.43751961e-02, -1.66850135e-01, 1.26398221e-01
4.61493194e-01, 5.59484482e-01, 4.99999989e-03, -4.84242849e-02, -1.69663161e-01, 1.14966385e-01
4.51275021e-01, 5.59201419e-01, 4.99999989e-03, -4.75791693e-02, -1.65796354e-01, 1.22846708e-01
4.71609861e-01, 5.59688628e-01, 4.99999989e-03, -4.92132045e-02, -1.73512697e-01, 1.06706850e-01
4.81674671e-01, 5.59821725e-01, 4.99999989e-03, -4.99314629e-02, -1.77354872e-01, 9.80574340e-02
4.91670042e-01, 5.59901357e-01, 4.99999989e-03, -5.05782440e-02, -1.81183636e-01, 8.90100002e-02
5.01693726e-01, 5.59987485e-01, 4.99999989e-03, -5.11607975e-02, -1.84992641e-01, 7.95515254e-02
5.21628141e-01, 5.60105264e-01, 4.99999989e-03, -5.20996675e-02, -1.92482129e-01, 5.94673827e-02
5.11668324e-01, 5.60061038e-01, 4.99999989e-03, -5.16694225e-02, -1.88768908e-01, 6.96912780e-02
5.31437457e-01, 5.60272992e-01, 4.99999989e-03, -5.24591170e-02, -1.96110353e-01, 4.88909557e-02
5.41279674e-01, 5.60453713e-01, 4.99999989e-03, -5.27374111e-02, -1.99657500e-01, 3.79369333e-02
5.59428394e-01, 4.61532861e-01, 4.99999989e-03, -2.59603523e-02, -2.29480922e-01, -1.28441565e-02
5.59652269e-01, 4.71699238e-01, 4.99999989e-03, -2.83836890e-02, -2.30208606e-01, -1.07761491e-02
5.59220970e-01, 4.51408148e-01, 4.99999989e-03, -2.36477721e-02, -2.28163078e-01, -1.47273187e-02
5.51104188e-01, 5.60635388e-01, 4.99999989e-03, -5.29281422e-02, -2.03112930e-01, 2.66102962e-02
5.60628057e-01, 5.51148772e-01, 4.99999989e-03, -5.01529314e-02, -2.11895972e-01, 1.17701888e-02
5.60402036e-01, 5.41380227e-01, 4.99999989e-03, -4.73048314e-02, -2.16603220e-01, 8.68028030e-03
5.60250223e-01, 5.31552792e-01, 4.99999989e-03, -4.44671176e-02, -2.20620155e-01, 5.58751030e-03
5.60180485e-01, 5.21646082e-01, 4.99999989e-03, -4.16382886e-02, -2.23951414e-01, 2.52118986e-03
5.60009062e-01, 5.01834750e-01, 4.99999989e-03, -3.61479409e-02, -2.28498116e-01, -3.28946114e-03
5.60071945e-01, 5.11765838e-01, 4.99999989e-03, -3.88654433e-02, -2.26574048e-01, -4.44067293e-04
5.59939504e-01, 4.91874784e-01, 4.99999989e-03, -3.34908962e-02, -2.29738712e-01, -5.98632498e-03
5.59867859e-01, 4.81859088e-01, 4.99999989e-03, -3.09061036e-02, -2.30304956e-01, -8.49287026e-03
5.48742354e-01, 4.40855771e-01, 4.99999989e-03, -2.17205007e-02, -2.24259347e-01, -6.73042843e-03
5.38488567e-01, 4.40510154e-01, 4.99999989e-03, -2.19535790e-02, -2.21960127e-01, 2.69619888e-03
5.28384268e-01, 4.40309525e-01, 4.99999989e-03, -2.21365020e-02, -2.19420254e-01, 1.18305795e-02
5.18322706e-01, 4.40180928e-01, 4.99999989e-03, -2.22771242e-02, -2.16658875e-01, 2.06756331e-02
5.08328736e-01, 4.40104753e-01, 4.99999989e-03, -2.23687403e-02, -2.13686287e-01, 2.92290952e-02
4.98306751e-01, 4.40017223e-01, 4.99999989e-03, -2.24083401e-02, -2.10511833e-01, 3.74935307e-02
4.88332421e-01, 4.39940810e-01, 4.99999989e-03, -2.23976038e-02, -2.07151175e-01, 4.54547703e-02
4.78371859e-01, 4.39894736e-01, 4.99999989e-03, -2.23380867e-02, -2.03627259e-01, 5.30788861e-02
4.68562543e-01, 4.39727038e-01, 4.99999989e-03, -2.22248342e-02, -1.99954361e-01, 6.03533611e-02
4.58720297e-01, 4.39546347e-01, 4.99999989e-03, -2.20647156e-02, -1.96138546e-01, 6.72952235e-02
4.48895872e-01, 4.39364672e-01, 4.99999989e-03, -2.18624659e-02, -1.92193702e-01, 7.38994628e-02
4.39372092e-01, 4.48851615e-01, 4.99999989e-03, -2.33966541e-02, -1.88498542e-01, 8.41588527e-02
4.39598352e-01, 4.58620518e-01, 4.99999989e-03, -2.52315365e-02, -1.88465536e-01, 8.82209912e-02
4.39751238e-01, 4.68452245e-01, 4.99999989e-03, -2.71390118e-02, -1.87987000e-01, 9.23892260e-02
4.39816892e-01, 4.78352576e-01, 4.99999989e-03, -2.91248001e-02, -1.87043503e-01, 9.66578349e-02
4.39996034e-01, 4.98212963e-01, 4.99999989e-03, -3.32552753e-02, -1.83753550e-01, 1.05298497e-01
4.39922005e-01, 4.88302916e-01, 4.99999989e-03, -3.11626308e-02, -1.85638547e-01, 1.00965038e-01
4.40061271e-01, 5.08169234e-01, 4.99999989e-03, -3.53965499e-02, -1.81375831e-01, 1.09641343e-01
4.40165997e-01, 5.18227637e-01, 4.99999989e-03, -3.75906266e-02, -1.78507209e-01, 1.13946766e-01
4.40983772e-01, 5.58915436e-01, 4.99999989e-03, -4.66894805e-02, -1.61895439e-01, 1.30340636e-01
5.58976471e-01, 4.41126794e-01, 4.99999989e-03, -2.14239378e-02, -2.26282954e-01, -1.64270829e-02
5.60920656e-01, 5.60959756e-01, 4.99999989e-03, -5.30247912e-02, -2.06463844e-01, 1.49210636e-02
4.39079374e-01, 4.39040303e-01, 4.99999989e-03, -2.16225311e-02, -1.88132361e-01, 8.01630318e-02
4.61631328e-01, 5.69653451e-01, 4.99999989e-03, -5.08095846e-02, -1.63864866e-01, 1.18771493e-01
4.51461762e-01, 5.69429278e-01, 4.99999989e-03, -4.99139875e-02, -1.60142362e-01, 1.26661330e-01
4.71775442e-01, 5.69845200e-01, 4.99999989e-03, -5.16497754e-02, -1.67591065e-01, 1.10490739e-01
4.81786311e-01, 5.69896758e-01, 4.99999989e-03, -5.24160303e-02, -1.71332061e-01, 1.01822481e-01
4.91777122e-01, 5.69955587e-01, 4.99999989e-03, -5.31168133e-02, -1.75080538e-01, 9.27524716e-02
5.01796246e-01, 5.69999993e-01, 4.99999989e-03, -5.37496507e-02, -1.78826213e-01, 8.32598135e-02
5.21660328e-01, 5.70081115e-01, 4.99999989e-03, -5.47891706e-02, -1.86237201e-01, 6.30878657e-02
