
[Name]
symmetry 1

[Data]
X [ m ], Y [ m ], Z [ m ]
4.97355834e-02, 3.30454260e-02, 5.99999970e-04
3.30639601e-01, 8.49135965e-02, 5.99999970e-04
3.30737293e-01, 8.44222754e-02, 5.99999970e-04
3.31266195e-01, 8.42025802e-02, 5.99999970e-04
3.30077857e-01, 8.40684846e-02, 5.99999970e-04
3.30799103e-01, 8.36170092e-02, 5.99999970e-04
3.30125779e-01, 8.50048959e-02, 5.99999970e-04
2.93350458e-01, 1.10725965e-02, 5.99999970e-04
2.92670399e-01, 1.10422922e-02, 5.99999970e-04
2.92628318e-01, 1.02844285e-02, 5.99999970e-04
2.93221802e-01, 1.04557434e-02, 5.99999970e-04
2.94108689e-01, 1.07516386e-02, 5.99999970e-04
2.93640465e-01, 1.00544207e-02, 5.99999970e-04
5.63174300e-02, 4.08911556e-02, 5.99999970e-04
5.59528172e-02, 4.12309133e-02, 5.99999970e-04
5.62265217e-02, 4.03413624e-02, 5.99999970e-04
5.54082952e-02, 4.06120196e-02, 5.99999970e-04
2.52154227e-02, 4.91958521e-02, 5.99999970e-04
2.58673709e-02, 4.93185893e-02, 5.99999970e-04
2.45776419e-02, 4.82150540e-02, 5.99999970e-04
2.45441869e-02, 4.90088090e-02, 5.99999970e-04
2.52840389e-02, 5.00550605e-02, 5.99999970e-04
2.44883429e-02, 4.97233309e-02, 5.99999970e-04
2.60597672e-02, 5.00989705e-02, 5.99999970e-04
2.84271032e-01, 2.98230369e-02, 5.99999970e-04
2.83752829e-01, 3.01679876e-02, 5.99999970e-04
2.82811880e-01, 2.99519952e-02, 5.99999970e-04
2.84163773e-01, 3.08102909e-02, 5.99999970e-04
2.83109397e-01, 3.08873095e-02, 5.99999970e-04
2.85041451e-01, 3.05852275e-02, 5.99999970e-04
5.11906072e-02, 3.61851938e-02, 5.99999970e-04
5.16674779e-02, 3.64400819e-02, 5.99999970e-04
5.07378913e-02, 3.64252999e-02, 5.99999970e-04
5.11952601e-02, 3.71212848e-02, 5.99999970e-04
2.86802590e-01, 2.17001624e-02, 5.99999970e-04
2.87685126e-01, 2.26516556e-02, 5.99999970e-04
2.87819624e-01, 2.15741210e-02, 5.99999970e-04
2.88436353e-01, 2.24972349e-02, 5.99999970e-04
2.90407300e-01, 2.11872775e-02, 5.99999970e-04
2.89703131e-01, 2.07548738e-02, 5.99999970e-04
2.91184902e-01, 2.09472645e-02, 5.99999970e-04
2.84020275e-01, 3.17692310e-02, 5.99999970e-04
2.84753025e-01, 3.15440074e-02, 5.99999970e-04
2.83337325e-01, 3.21028046e-02, 5.99999970e-04
2.82735109e-01, 3.14372145e-02, 5.99999970e-04
2.85075992e-01, 2.95452531e-02, 5.99999970e-04
2.89342731e-01, 2.24312954e-02, 5.99999970e-04
2.88538396e-01, 2.14874875e-02, 5.99999970e-04
2.87469894e-01, 2.06911918e-02, 5.99999970e-04
2.88436621e-01, 2.04923172e-02, 5.99999970e-04
2.89829195e-01, 2.16857959e-02, 5.99999970e-04
2.76675582e-01, 3.14274207e-02, 5.99999970e-04
2.75678664e-01, 3.18768397e-02, 5.99999970e-04
2.75479257e-01, 3.12310178e-02, 5.99999970e-04
2.76033849e-01, 3.10018100e-02, 5.99999970e-04
2.76759773e-01, 3.04093957e-02, 5.99999970e-04
2.76052266e-01, 3.04224715e-02, 5.99999970e-04
2.77591735e-01, 3.04198340e-02, 5.99999970e-04
2.77679831e-01, 3.12349573e-02, 5.99999970e-04
7.54919872e-02, 2.96047721e-02, 5.99999970e-04
7.56171495e-02, 3.04275658e-02, 5.99999970e-04
7.48656988e-02, 3.04347370e-02, 5.99999970e-04
7.47469887e-02, 2.96112038e-02, 5.99999970e-04
7.63516650e-02, 3.04136127e-02, 5.99999970e-04
7.62385130e-02, 2.95957886e-02, 5.99999970e-04
7.64849707e-02, 3.12392265e-02, 5.99999970e-04
7.57281631e-02, 3.12467273e-02, 5.99999970e-04
7.70899057e-02, 3.03985775e-02, 5.99999970e-04
7.72196949e-02, 3.12179346e-02, 5.99999970e-04
3.23049694e-01, 7.94731453e-02, 5.99999970e-04
3.22504342e-01, 7.97286183e-02, 5.99999970e-04
3.23652238e-01, 7.92013779e-02, 5.99999970e-04
3.23202133e-01, 7.85157606e-02, 5.99999970e-04
3.21926922e-01, 7.98748583e-02, 5.99999970e-04
3.22838366e-01, 8.04198980e-02, 5.99999970e-04
3.22171509e-01, 8.05212408e-02, 5.99999970e-04
3.23461384e-01, 8.02150965e-02, 5.99999970e-04
2.76864648e-01, 3.22773345e-02, 5.99999970e-04
2.75857061e-01, 3.26300487e-02, 5.99999970e-04
2.74682134e-01, 3.19732279e-02, 5.99999970e-04
2.74724275e-01, 3.26899625e-02, 5.99999970e-04
2.75412679e-01, 3.33125181e-02, 5.99999970e-04
2.74646908e-01, 3.34224328e-02, 5.99999970e-04
3.12021583e-01, 7.39543214e-02, 5.99999970e-04
3.11656862e-01, 7.31000155e-02, 5.99999970e-04
3.12381655e-01, 7.28217363e-02, 5.99999970e-04
3.12765241e-01, 7.34595731e-02, 5.99999970e-04
3.11161637e-01, 7.40132704e-02, 5.99999970e-04
3.10893089e-01, 7.32461587e-02, 5.99999970e-04
2.58446246e-01, 5.03318161e-02, 5.99999970e-04
2.58053601e-01, 4.96902689e-02, 5.99999970e-04
2.59107888e-01, 4.95851375e-02, 5.99999970e-04
2.59305805e-01, 5.03827222e-02, 5.99999970e-04
2.58008331e-01, 5.06743565e-02, 5.99999970e-04
2.57455379e-01, 5.04934303e-02, 5.99999970e-04
2.67453134e-01, 4.82879244e-02, 5.99999970e-04
2.67406583e-01, 4.90547232e-02, 5.99999970e-04
2.66567975e-01, 4.89288755e-02, 5.99999970e-04
2.66709536e-01, 4.81250100e-02, 5.99999970e-04
2.68135488e-01, 4.91203927e-02, 5.99999970e-04
2.69999713e-01, 4.73351963e-02, 5.99999970e-04
2.69277632e-01, 4.69851308e-02, 5.99999970e-04
2.69239485e-01, 4.65002097e-02, 5.99999970e-04
2.69984752e-01, 4.64605652e-02, 5.99999970e-04
2.68452466e-01, 4.68092896e-02, 5.99999970e-04
2.76735365e-01, 4.49324064e-02, 5.99999970e-04
2.77097464e-01, 4.57618274e-02, 5.99999970e-04
2.76284099e-01, 4.57652211e-02, 5.99999970e-04
2.75986463e-01, 4.48387265e-02, 5.99999970e-04
2.75495142e-01, 4.56838459e-02, 5.99999970e-04
2.75191188e-01, 4.46440913e-02, 5.99999970e-04
2.74613559e-01, 4.51150350e-02, 5.99999970e-04
2.76480794e-01, 3.99867967e-02, 5.99999970e-04
2.76302248e-01, 3.93307805e-02, 5.99999970e-04
2.76963443e-01, 3.89849991e-02, 5.99999970e-04
2.77294159e-01, 3.98222506e-02, 5.99999970e-04
2.76656181e-01, 3.82650085e-02, 5.99999970e-04
2.76119053e-01, 3.86827625e-02, 5.99999970e-04
2.81323314e-01, 3.61895747e-02, 5.99999970e-04
2.80557662e-01, 3.64380442e-02, 5.99999970e-04
2.80003339e-01, 3.55731286e-02, 5.99999970e-04
2.80878633e-01, 3.54014039e-02, 5.99999970e-04
2.81814784e-01, 3.69780771e-02, 5.99999970e-04
2.81032950e-01, 3.72105315e-02, 5.99999970e-04
2.97646463e-01, 6.53352439e-02, 5.99999970e-04
2.97807813e-01, 6.59466088e-02, 5.99999970e-04
2.97126710e-01, 6.59747198e-02, 5.99999970e-04
2.97094643e-01, 6.51879087e-02, 5.99999970e-04
2.98453867e-01, 6.57243878e-02, 5.99999970e-04
2.98029572e-01, 6.49548993e-02, 5.99999970e-04
2.81783491e-01, 3.26683633e-02, 5.99999970e-04
2.81394899e-01, 3.20126601e-02, 5.99999970e-04
2.82159984e-01, 3.18919159e-02, 5.99999970e-04
2.82638490e-01, 3.24408822e-02, 5.99999970e-04
2.82309264e-01, 3.33055444e-02, 5.99999970e-04
2.83127517e-01, 3.30749936e-02, 5.99999970e-04
7.40983710e-02, 3.04442011e-02, 5.99999970e-04
7.39899352e-02, 2.96282358e-02, 5.99999970e-04
2.62273848e-02, 3.29968184e-02, 5.99999970e-04
2.54836213e-02, 3.29416022e-02, 5.99999970e-04
2.55034193e-02, 3.21099199e-02, 5.99999970e-04
2.62494814e-02, 3.21616866e-02, 5.99999970e-04
2.47253645e-02, 3.28931287e-02, 5.99999970e-04
2.47431155e-02, 3.20663489e-02, 5.99999970e-04
3.14417958e-01, 7.57206976e-02, 5.99999970e-04
3.14102650e-01, 7.50812069e-02, 5.99999970e-04
3.14760685e-01, 7.49107972e-02, 5.99999970e-04
3.15154940e-01, 7.55999312e-02, 5.99999970e-04
3.13483894e-01, 7.52112493e-02, 5.99999970e-04
3.13664526e-01, 7.57675469e-02, 5.99999970e-04
