
[Name]
symmetry 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
8.92075002e-02, 5.04695810e-02, 5.99999970e-04, 1.40608387e+01, 5.01604155e-02, -1.43667936e-01
9.01973695e-02, 5.04791178e-02, 5.99999970e-04, 1.34404879e+01, 4.90768850e-02, -1.39252424e-01
8.62285346e-02, 4.95382734e-02, 5.99999970e-04, 1.56508236e+01, 5.45478500e-02, -1.51572943e-01
8.62167478e-02, 5.04646711e-02, 5.99999970e-04, 1.58033648e+01, 5.18051684e-02, -1.51548505e-01
8.52183029e-02, 5.04603982e-02, 5.99999970e-04, 1.63508625e+01, 5.20074181e-02, -1.52202979e-01
8.62547010e-02, 4.86133508e-02, 5.99999970e-04, 1.55213718e+01, 5.69999926e-02, -1.51265785e-01
2.81493992e-01, 3.55511904e-02, 5.99999970e-04, 2.09759827e+01, 9.41681564e-02, 2.05230303e-02
2.80493647e-01, 3.58319059e-02, 5.99999970e-04, 2.08152332e+01, 9.82875526e-02, 2.12632995e-02
8.42178017e-02, 5.04678823e-02, 5.99999970e-04, 1.68751926e+01, 5.21853492e-02, -1.52006209e-01
8.32071453e-02, 5.04860319e-02, 5.99999970e-04, 1.73764591e+01, 5.24684638e-02, -1.51161075e-01
7.43718296e-02, 4.87150736e-02, 5.99999970e-04, 2.00754814e+01, 6.94250390e-02, -1.58759251e-01
7.53501430e-02, 4.86442819e-02, 5.99999970e-04, 1.97854614e+01, 6.58597499e-02, -1.54176861e-01
7.52588734e-02, 4.95870784e-02, 5.99999970e-04, 2.01028233e+01, 6.49906322e-02, -1.51405275e-01
7.45823607e-02, 4.94252630e-02, 5.99999970e-04, 2.02664566e+01, 6.76133707e-02, -1.54771015e-01
7.62716830e-02, 4.95612919e-02, 5.99999970e-04, 1.97974606e+01, 6.23397455e-02, -1.48891076e-01
7.62916133e-02, 4.86559719e-02, 5.99999970e-04, 1.94632893e+01, 6.29700646e-02, -1.51084512e-01
2.88392246e-01, 2.06759628e-02, 5.99999970e-04, 1.95834465e+01, 2.76639108e-02, -7.79060926e-03
2.87730932e-01, 1.96262188e-02, 5.99999970e-04, 1.95622787e+01, 2.33486332e-02, -6.88591506e-03
2.88884610e-01, 1.96194667e-02, 5.99999970e-04, 1.96664448e+01, 2.32111383e-02, -9.52982996e-03
